BuildingType,PrimaryPropertyType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),PercentagePropertyGFABuildings,GFAperBuilding,GFAperFloor,LargestPropertyUseType,LargestPropertyUseTypeGFAPourcentage,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFAPourcentage,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFAPourcentage,ENERGYSTARScore,PercentageSteamUse(kBtu),PercentageElectricity(kBtu),SiteEnergyUseWN(kBtu),SiteEUIWN(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Mixed Use Property,DOWNTOWN,109,1,5,57452,0,57452,100.0,57452.0,11490.0,Social/Meeting Hall,29.0,Restaurant,27.0,Office,17.0,,23.0,48.0,7877219.0,137.1000061,273.02,4.75
NonResidential,Hotel,DOWNTOWN,100,1,10,104352,0,104352,100.0,104352.0,10435.0,Hotel,100.0,,,,,39.0,34.0,58.0,10154608.0,97.30000305,349.32,3.35
NonResidential,Other,DOWNTOWN,100,1,10,540360,0,540360,100.0,540360.0,54036.0,Courthouse,99.0,,,,,76.0,0.0,52.0,47023088.0,87.5,1265.29,2.34
NonResidential,Other,DOWNTOWN,31,1,19,385274,0,385274,100.0,385274.0,20278.0,Other,100.0,,,,,,0.0,37.0,49539212.0,128.6000061,1699.45,4.41
NonResidential,Hotel,NORTHEAST,15,1,6,88592,30586,58006,65.0,58006.0,9668.0,Hotel,65.0,Parking,35.0,,,84.0,0.0,62.0,3673186.75,63.29999924,90.01,1.02
NonResidential,University,DOWNTOWN,88,1,7,126593,0,126593,100.0,126593.0,18085.0,College/University,99.0,,,,,,0.0,38.0,12183313.0,97.5,388.04,3.07
NonResidential,Other,DOWNTOWN,86,1,2,67224,0,67224,100.0,67224.0,33612.0,Automobile Dealership,100.0,,,,,,0.0,100.0,1310236.625,19.5,9.13,0.14
NonResidential,Hotel,EAST,25,1,8,158676,30301,128375,81.0,128375.0,16047.0,Hotel,71.0,Parking,26.0,Retail Store,3.0,,0.0,11.0,5424942.0,46.29999924,256.57,1.62
NonResidential,Hotel,DOWNTOWN,15,1,10,171866,38281,133585,78.0,133585.0,13358.0,Hotel,75.0,,,,,57.0,0.0,50.0,11171407.0,86.69999695,328.63,1.91
NonResidential,Hotel,DOWNTOWN,38,1,5,68410,16200,52210,76.0,52210.0,10442.0,Hotel,70.0,,,,,57.0,0.0,51.0,4557974.0,95.0,128.44,1.88
NonResidential,Small- and Mid-Sized Office,LAKE UNION,110,1,3,87262,0,87262,100.0,87262.0,29087.0,Office,47.0,K-12 School,21.0,Other - Entertainment/Public Assembly,5.0,,0.0,29.0,4703690.0,69.80000305,157.77,1.81
NonResidential,Hotel,NORTHEAST,22,1,4,81871,0,81871,100.0,81871.0,20468.0,Hotel,100.0,,,,,29.0,0.0,45.0,6731281.5,82.19999695,215.0,2.63
NonResidential,Self-Storage Facility,NORTHEAST,61,1,2,110356,0,110356,100.0,110356.0,55178.0,Self-Storage Facility,24.0,,,,,,0.0,86.0,326223.0938,12.39999962,3.93,0.04
Campus,Mixed Use Property,GREATER DUWAMISH,24,1,3,494835,0,494835,100.0,494835.0,164945.0,Office,153.0,Laboratory,129.0,Non-Refrigerated Warehouse,93.0,8.0,0.0,32.0,471613856.0,233.1000061,16870.98,34.09
NonResidential,Warehouse,GREATER DUWAMISH,55,3,2,714095,0,714095,100.0,238032.0,119016.0,Non-Refrigerated Warehouse,86.0,Refrigerated Warehouse,39.0,Office,10.0,,0.0,101.0,44110016.0,45.79999924,311.84,0.44
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,26,1,2,54986,0,54986,100.0,54986.0,27493.0,K-12 School,100.0,,,,,97.0,0.0,68.0,1802471.375,32.79999924,31.47,0.57
NonResidential,Small- and Mid-Sized Office,BALLARD,55,1,2,94900,0,94900,100.0,94900.0,47450.0,Office,59.0,Non-Refrigerated Warehouse,41.0,,,57.0,0.0,66.0,6536359.5,68.90000153,130.56,1.38
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,116,1,2,52554,0,52554,100.0,52554.0,26277.0,Office,97.0,Other - Education,15.0,,,83.0,0.0,50.0,3150635.5,53.5,83.86,1.6
NonResidential,K-12 School,NORTHWEST,62,1,3,175015,0,175015,100.0,175015.0,58338.0,K-12 School,100.0,,,,,95.0,0.0,34.0,7886505.5,45.09999847,247.85,1.42
NonResidential,Self-Storage Facility,DOWNTOWN,105,1,3,70586,0,70586,100.0,70586.0,23529.0,Self-Storage Facility,54.0,Vocational School,40.0,Office,5.0,,0.0,64.0,2331573.25,33.09999847,45.43,0.64
NonResidential,Hotel,DOWNTOWN,47,1,24,332210,205970,126240,38.0,126240.0,5260.0,Hotel,105.0,,,,,67.0,0.0,76.0,16163194.0,46.40000153,295.33,0.89
NonResidential,Large Office,DOWNTOWN,43,1,5,168115,0,168115,100.0,168115.0,33623.0,Office,61.0,Retail Store,39.0,Data Center,0.0,78.0,0.0,100.0,9536161.0,56.29999924,66.48,0.4
NonResidential,Other,DOWNTOWN,96,1,2,57428,0,57428,100.0,57428.0,28714.0,Other - Mall,90.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",10.0,,,,0.0,58.0,1239429.75,21.60000038,33.26,0.58
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,106,1,8,59400,0,59400,100.0,59400.0,7425.0,Office,59.0,Retail Store,8.0,,,14.0,0.0,97.0,5242479.5,88.30000305,35.36,0.6
NonResidential,Mixed Use Property,DOWNTOWN,90,1,2,52549,0,52549,100.0,52549.0,26274.0,Other - Entertainment/Public Assembly,45.0,Restaurant,45.0,Office,10.0,,0.0,30.0,15683742.0,299.0,584.31,11.12
NonResidential,Hotel,DOWNTOWN,86,1,20,98634,10043,88591,90.0,88591.0,4430.0,Hotel,85.0,Parking,10.0,Restaurant,5.0,71.0,0.0,84.0,5078816.0,57.29999924,59.19,0.6
NonResidential,Hotel,DOWNTOWN,34,1,34,994212,146694,847518,85.0,847518.0,24927.0,Hotel,100.0,Parking,12.0,Swimming Pool,0.0,63.0,14.0,55.0,82318072.0,82.80000305,2451.58,2.47
NonResidential,Hotel,DOWNTOWN,31,1,7,71150,0,71150,100.0,71150.0,10164.0,Hotel,58.0,Parking,19.0,Retail Store,13.0,98.0,0.0,61.0,5348309.0,93.09999847,134.38,1.89
NonResidential,Hotel,DOWNTOWN,108,1,7,122810,0,122810,100.0,122810.0,17544.0,Hotel,72.0,Other - Entertainment/Public Assembly,22.0,Retail Store,7.0,99.0,0.0,21.0,6088417.5,49.59999847,227.18,1.85
NonResidential,Hotel,LAKE UNION,57,1,5,113173,42546,70627,62.0,70627.0,14125.0,Hotel,62.0,Parking,38.0,,,86.0,0.0,54.0,5428403.5,76.90000153,144.79,1.28
NonResidential,Hotel,LAKE UNION,16,1,7,150453,34735,115718,77.0,115718.0,16531.0,Hotel,71.0,Restaurant,2.0,,,84.0,0.0,50.0,6835263.5,61.79999924,199.95,1.33
NonResidential,Hotel,LAKE UNION,19,1,6,116300,28200,88100,76.0,88100.0,14683.0,Hotel,76.0,Parking,24.0,,,80.0,0.0,54.0,5941927.0,67.09999847,162.39,1.4
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,18,1,6,155602,36744,118858,76.0,118858.0,19810.0,Hotel,100.0,,,,,81.0,0.0,67.0,6849826.5,44.0,152.76,0.98
NonResidential,K-12 School,EAST,105,1,3,56072,0,56072,100.0,56072.0,18691.0,K-12 School,100.0,,,,,76.0,0.0,15.0,3800842.5,67.80000305,146.34,2.61
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,17,1,4,122942,44891,78051,63.0,78051.0,19513.0,Hotel,63.0,Parking,37.0,,,94.0,0.0,45.0,5387530.0,69.0,171.64,1.4
NonResidential,Small- and Mid-Sized Office,CENTRAL,54,1,2,54984,0,54984,100.0,54984.0,27492.0,Office,100.0,,,,,71.0,0.0,54.0,3630147.25,66.0,87.98,1.6
NonResidential,Senior Care Community,SOUTHWEST,94,1,5,217603,0,217603,100.0,217603.0,43521.0,Senior Care Community,136.0,Parking,0.0,,,54.0,0.0,26.0,45547252.0,153.6999969,1727.11,7.94
NonResidential,Senior Care Community,NORTHWEST,46,1,2,93397,0,93397,100.0,93397.0,46698.0,Senior Care Community,100.0,,,,,1.0,0.0,33.0,16959754.0,181.6000061,609.1,6.52
NonResidential,Hotel,LAKE UNION,8,1,6,84103,20732,63371,75.0,63371.0,10562.0,Hotel,75.0,Parking,25.0,,,74.0,0.0,74.0,3787499.0,59.79999924,67.06,0.8
NonResidential,Medical Office,EAST,51,1,3,179014,0,179014,100.0,179014.0,59671.0,Medical Office,100.0,,,,,48.0,0.0,60.0,16527711.0,92.30000305,430.84,2.41
NonResidential,Hotel,EAST,108,1,7,76631,0,76631,100.0,76631.0,10947.0,Hotel,100.0,,,,,71.0,0.0,37.0,7250730.5,94.59999847,262.75,3.43
NonResidential,Mixed Use Property,EAST,33,1,6,99780,9341,90439,91.0,90439.0,15073.0,Medical Office,40.0,Parking,21.0,Office,17.0,,34.0,65.0,15684371.0,207.3000031,481.97,4.83
NonResidential,Retail Store,LAKE UNION,87,1,2,58320,0,58320,100.0,58320.0,29160.0,Retail Store,124.0,,,,,96.0,0.0,29.0,1243027.75,17.20000076,39.06,0.67
NonResidential,Large Office,LAKE UNION,6,1,5,316306,0,316306,100.0,316306.0,63261.0,Office,83.0,Parking,48.0,Other,5.0,96.0,0.0,93.0,13909270.0,48.40000153,138.85,0.44
NonResidential,Hotel,LAKE UNION,26,1,7,282863,44766,238097,84.0,238097.0,34014.0,Hotel,83.0,Parking,18.0,,,37.0,0.0,54.0,20194606.0,85.59999847,526.85,1.86
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,54,1,1,389000,0,389000,100.0,389000.0,389000.0,Other,95.0,,,,,,26.0,61.0,23736924.0,64.5,607.41,1.56
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,54,1,1,91213,0,91213,100.0,91213.0,91213.0,Other,71.0,,,,,,50.0,46.0,8181881.0,125.9000015,344.2,3.77
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,78,1,5,396085,0,396085,100.0,396085.0,79217.0,Other,70.0,,,,,,46.0,34.0,21257836.0,76.30000305,804.2,2.03
NonResidential,Large Office,LAKE UNION,6,1,12,571329,0,571329,100.0,571329.0,47611.0,Office,105.0,Parking,54.0,Other,5.0,91.0,0.0,80.0,40153432.0,64.19999695,617.52,1.08
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,54,1,2,52000,0,52000,100.0,52000.0,26000.0,Other,100.0,,,,,,45.0,48.0,2682242.75,51.59999847,101.83,1.96
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,88,1,1,60696,0,60696,100.0,60696.0,60696.0,Other,178.0,,,,,,0.0,100.0,875943.3125,8.100000381,6.11,0.1
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,88,1,2,262048,0,262048,100.0,262048.0,131024.0,Other,113.0,,,,,,25.0,65.0,20823520.0,70.30000305,490.73,1.87
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,30,1,2,66240,2352,63888,96.0,63888.0,31944.0,Office,69.0,Data Center,8.0,Distribution Center,7.0,,0.0,99.0,4192107.75,75.40000153,29.04,0.44
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,6,1,6,920598,303707,616891,67.0,616891.0,102815.0,Office,79.0,Parking,20.0,Other,1.0,93.0,0.0,72.0,38105108.0,51.79999924,674.09,0.73
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,46,1,4,76213,25930,50283,66.0,50283.0,12571.0,Office,64.0,Parking,28.0,Other,3.0,68.0,0.0,81.0,3647345.75,71.59999847,48.76,0.64
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,14,1,6,96910,36934,59976,62.0,59976.0,9996.0,Hotel,62.0,Parking,38.0,,,56.0,0.0,50.0,5274523.0,87.90000153,152.14,1.57
NonResidential,Hotel,NORTHEAST,54,2,4,50017,0,50017,100.0,25008.0,6252.0,Hotel,100.0,Swimming Pool,0.0,,,53.0,0.0,38.0,5528580.5,110.5,191.2,3.82
NonResidential,K-12 School,EAST,93,1,3,67743,0,67743,100.0,67743.0,22581.0,K-12 School,100.0,,,,,34.0,0.0,44.0,3036464.0,44.79999924,78.85,1.16
NonResidential,K-12 School,EAST,108,1,6,194104,0,194104,100.0,194104.0,32351.0,K-12 School,100.0,,,,,100.0,0.0,26.0,7204080.0,37.09999847,243.23,1.25
NonResidential,Small- and Mid-Sized Office,SOUTHEAST,13,1,3,99433,35752,63681,64.0,63681.0,21227.0,Office,64.0,Parking,36.0,,,63.0,0.0,98.0,4980737.5,78.19999695,34.14,0.34
NonResidential,Other,NORTHEAST,75,1,4,56521,0,56521,100.0,56521.0,14130.0,Other,87.0,,,,,,0.0,100.0,6367210.0,129.8999939,44.32,0.78
NonResidential,Other,NORTHEAST,87,1,2,206934,0,206934,100.0,206934.0,103467.0,Other,58.0,Parking,0.0,,,,0.0,46.0,4384625.5,36.79999924,133.58,0.65
NonResidential,Hotel,NORTHWEST,15,1,4,51390,0,51390,100.0,51390.0,12848.0,Hotel,100.0,Parking,0.0,,,89.0,0.0,39.0,3616214.0,70.40000153,127.29,2.48
SPS-District K-12,K-12 School,NORTHWEST,57,1,1,245587,0,245587,100.0,245587.0,245587.0,K-12 School,100.0,,,,,92.0,0.0,31.0,12870916.0,52.40000153,443.73,1.81
NonResidential,Hotel,NORTHWEST,14,1,3,69138,0,69138,100.0,69138.0,23046.0,Hotel,102.0,,,,,78.0,0.0,54.0,3323400.5,47.09999847,89.02,1.29
NonResidential,Hotel,DOWNTOWN,112,1,5,190980,0,190980,100.0,190980.0,38196.0,Hotel,100.0,Parking,10.0,,,98.0,0.0,68.0,6505995.0,34.09999847,142.39,0.75
Nonresidential COS,Other,DOWNTOWN,18,1,6,284100,0,284100,100.0,284100.0,47350.0,Other - Entertainment/Public Assembly,67.0,,,,,,29.0,66.0,14881950.0,78.40000153,429.12,1.51
NonResidential,Hospital,BALLARD,62,4,5,285333,0,285333,100.0,71333.0,14267.0,Hospital (General Medical & Surgical),106.0,Parking,52.0,,,14.0,0.0,74.0,47602720.0,157.3000031,1990.5,6.98
Nonresidential COS,Other,DOWNTOWN,10,1,4,61156,0,61156,100.0,61156.0,15289.0,Other,70.0,Office,48.0,,,,0.0,73.0,9550716.0,132.6999969,176.75,2.89
NonResidential,Other,DOWNTOWN,106,1,4,72820,13820,59000,81.0,59000.0,14750.0,Museum,80.0,,,,,,0.0,63.0,2095175.25,36.09999847,46.26,0.64
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,20,1,4,162222,14200,148022,91.0,148022.0,37006.0,Hotel,70.0,Parking,20.0,,,76.0,0.0,52.0,8016521.0,70.5,228.4,1.41
NonResidential,University,EAST,101,1,3,63330,0,63330,100.0,63330.0,21110.0,College/University,102.0,,,,,,0.0,58.0,3284214.5,50.70000076,74.33,1.17
Campus,University,DELRIDGE,46,27,2,441071,0,441071,100.0,16336.0,8168.0,College/University,110.0,,,,,,0.0,62.0,41151732.0,85.19999695,866.23,1.96
NonResidential,Small- and Mid-Sized Office,NORTHEAST,14,1,2,96300,0,96300,100.0,96300.0,48150.0,Office,96.0,Data Center,5.0,,,,0.0,86.0,16274449.0,167.3999939,222.02,2.31
Nonresidential COS,Other,GREATER DUWAMISH,66,1,1,67356,0,67356,100.0,67356.0,67356.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",101.0,,,,,,0.0,52.0,8086930.5,118.3000031,204.08,3.03
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,58,1,1,54765,0,54765,100.0,54765.0,54765.0,Office,47.0,Other,46.0,,,,0.0,79.0,4503671.5,88.69999695,61.21,1.12
NonResidential,Other,GREATER DUWAMISH,7,1,5,89821,0,89821,100.0,89821.0,17964.0,Other - Lodging/Residential,52.0,Office,42.0,Food Service,5.0,,0.0,3.0,2220796.5,25.0,100.46,1.12
NonResidential,University,MAGNOLIA / QUEEN ANNE,36,1,2,52611,0,52611,100.0,52611.0,26306.0,College/University,100.0,,,,,,0.0,56.0,4390158.0,83.40000153,104.26,1.98
NonResidential,Residence Hall,MAGNOLIA / QUEEN ANNE,15,1,4,139600,37500,102100,73.0,102100.0,25525.0,Residence Hall/Dormitory,97.0,,,,,89.0,0.0,48.0,4800620.5,35.40000153,129.39,0.93
SPS-District K-12,K-12 School,NORTH,5,1,2,236758,0,236758,100.0,236758.0,118379.0,K-12 School,101.0,Parking,0.0,,,96.0,0.0,52.0,9287467.0,38.90000153,222.78,0.94
NonResidential,Other,CENTRAL,45,3,6,250981,0,250981,100.0,83660.0,13943.0,Other,55.0,Courthouse,31.0,,,,31.0,57.0,14196194.0,65.69999695,422.39,1.68
NonResidential,Other,DOWNTOWN,12,1,11,299070,68432,230638,77.0,230638.0,20967.0,Other,84.0,,,,,,0.0,46.0,66000296.0,264.0,2055.82,6.87
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,9,1,3,64015,0,64015,100.0,64015.0,21338.0,Office,47.0,Non-Refrigerated Warehouse,23.0,Other - Services,14.0,21.0,0.0,79.0,3375016.25,62.5,49.58,0.77
NonResidential,Retail Store,NORTH,65,1,1,530039,0,530039,100.0,530039.0,530039.0,Retail Store,95.0,Restaurant,5.0,,,98.0,0.0,56.0,28763498.0,54.29999924,723.47,1.36
NonResidential,Other,NORTH,52,1,3,54224,0,54224,100.0,54224.0,18075.0,Other/Specialty Hospital,87.0,,,,,,0.0,44.0,7668810.0,163.1000061,231.53,4.27
NonResidential,Retail Store,NORTH,51,1,4,124342,0,124342,100.0,124342.0,31086.0,Retail Store,98.0,,,,,76.0,0.0,99.0,8729918.0,71.59999847,66.3,0.53
NonResidential,Hospital,NORTHEAST,63,6,10,879000,0,879000,100.0,146500.0,14650.0,Hospital (General Medical & Surgical),100.0,,,,,10.0,0.0,45.0,257764208.0,293.2000122,8145.52,9.27
NonResidential,Other,NORTHWEST,20,1,3,55442,0,55442,100.0,55442.0,18481.0,Financial Office,52.0,Parking,28.0,Medical Office,16.0,72.0,0.0,56.0,3313397.0,88.90000153,83.7,1.51
NonResidential,Self-Storage Facility,EAST,106,1,5,84870,0,84870,100.0,84870.0,16974.0,Self-Storage Facility,101.0,,,,,,0.0,30.0,1617801.25,18.89999962,51.11,0.6
Campus,University,NORTHWEST,46,11,2,694072,111625,582447,84.0,52950.0,26475.0,College/University,96.0,,,,,,0.0,89.0,37410800.0,56.09999847,362.82,0.52
NonResidential,Warehouse,GREATER DUWAMISH,112,1,4,114297,0,114297,100.0,114297.0,28574.0,Non-Refrigerated Warehouse,100.0,,,,,61.0,0.0,38.0,2415462.5,21.10000038,69.44,0.61
NonResidential,Warehouse,GREATER DUWAMISH,79,1,1,234144,0,234144,100.0,234144.0,234144.0,Non-Refrigerated Warehouse,100.0,,,,,87.0,0.0,17.0,7874958.5,33.59999847,297.43,1.27
NonResidential,Retail Store,DELRIDGE,50,1,1,64984,0,64984,100.0,64984.0,64984.0,Retail Store,101.0,,,,,72.0,0.0,87.0,3016373.5,46.09999847,35.78,0.55
NonResidential,Retail Store,DELRIDGE,51,1,1,67745,0,67745,100.0,67745.0,67745.0,Retail Store,100.0,,,,,37.0,0.0,27.0,9589728.0,141.5,369.14,5.45
SPS-District K-12,K-12 School,DELRIDGE,6,1,2,367884,0,367884,100.0,367884.0,183942.0,K-12 School,100.0,,,,,97.0,0.0,62.0,13279344.0,36.09999847,272.85,0.74
NonResidential,Other,BALLARD,43,1,3,56000,0,56000,100.0,56000.0,18667.0,Other,100.0,,,,,,0.0,40.0,2088978.125,37.29999924,59.34,1.06
NonResidential,Self-Storage Facility,SOUTHWEST,47,1,2,52088,0,52088,100.0,52088.0,26044.0,Self-Storage Facility,100.0,,,,,,0.0,33.0,1576122.875,30.29999924,48.99,0.94
NonResidential,Hotel,LAKE UNION,18,1,5,123920,30000,93920,76.0,93920.0,18784.0,Hotel,100.0,Parking,24.0,Swimming Pool,0.0,79.0,0.0,42.0,9676783.0,78.09999847,309.6,2.5
Nonresidential COS,Other,LAKE UNION,116,1,1,50000,0,50000,100.0,50000.0,50000.0,Museum,86.0,,,,,,0.0,48.0,7942537.5,184.6999969,225.69,4.51
Nonresidential COS,Warehouse,MAGNOLIA / QUEEN ANNE,90,1,2,50292,0,50292,100.0,50292.0,25146.0,Non-Refrigerated Warehouse,84.0,Residence Hall/Dormitory,10.0,Office,9.0,,0.0,100.0,430473.6875,8.0,3.0,0.06
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,18,1,7,207656,54341,153315,74.0,153315.0,21902.0,Hotel,68.0,,,,,76.0,0.0,47.0,11754087.0,83.0,338.16,1.63
Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,59,1,2,91130,0,91130,100.0,91130.0,45565.0,Office,64.0,Distribution Center,36.0,Parking,13.0,,0.0,71.0,10005492.0,106.0999985,175.77,1.93
NonResidential,Hotel,NORTHWEST,48,1,4,64893,0,64893,100.0,64893.0,16223.0,Hotel,100.0,,,,,70.0,0.0,42.0,6211749.5,95.69999695,208.26,3.21
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,116,1,3,44558,0,44558,100.0,44558.0,14853.0,Office,77.0,Self-Storage Facility,17.0,Restaurant,6.0,78.0,0.0,77.0,1722053.0,38.59999847,28.27,0.63
NonResidential,Other,GREATER DUWAMISH,17,1,6,1585960,327680,1258280,79.0,1258280.0,209713.0,Other - Entertainment/Public Assembly,100.0,Parking,0.0,,,,0.0,80.0,62160304.0,39.20000076,892.63,0.56
Nonresidential COS,Distribution Center,GREATER DUWAMISH,92,1,2,179161,0,179161,100.0,179161.0,89580.0,Distribution Center,66.0,Office,21.0,Other,14.0,,0.0,86.0,10168523.0,56.29999924,96.43,0.54
Nonresidential COS,Warehouse,GREATER DUWAMISH,51,1,2,58640,0,58640,100.0,58640.0,29320.0,Non-Refrigerated Warehouse,70.0,Other - Services,29.0,Office,20.0,,0.0,91.0,4327563.5,61.5,27.39,0.47
NonResidential,Other,GREATER DUWAMISH,17,1,3,1172127,0,1172127,100.0,1172127.0,390709.0,Other - Entertainment/Public Assembly,100.0,,,,,,0.0,71.0,57406988.0,49.0,1246.55,1.06
NonResidential,Hotel,GREATER DUWAMISH,11,1,9,168449,14567,153882,91.0,153882.0,17098.0,Hotel,80.0,Parking,12.0,Food Service,5.0,64.0,0.0,48.0,12871628.0,89.19999695,388.37,2.31
NonResidential,Warehouse,GREATER DUWAMISH,100,1,4,79600,0,79600,100.0,79600.0,19900.0,Non-Refrigerated Warehouse,100.0,,,,,34.0,0.0,100.0,2411402.25,30.29999924,16.81,0.21
Campus,Large Office,GREATER DUWAMISH,36,14,2,334368,31874,302494,90.0,21607.0,10804.0,Office,72.0,Laboratory,22.0,Other - Utility,5.0,,0.0,84.0,54136068.0,161.8999939,748.55,2.24
NonResidential,Other,NORTH,8,1,6,419848,335109,84739,20.0,84739.0,14123.0,Parking,80.0,Movie Theater,15.0,Medical Office,3.0,,0.0,76.0,9238992.0,109.0,162.41,0.39
NonResidential,Hotel,DOWNTOWN,17,1,9,934292,0,934292,100.0,934292.0,103810.0,Hotel,53.0,Parking,47.0,Restaurant,5.0,,0.0,59.0,66502836.0,120.5,1638.46,1.75
NonResidential,Hospital,CENTRAL,26,6,5,597519,0,597519,100.0,99586.0,19917.0,Hospital (General Medical & Surgical),101.0,Parking,8.0,,,34.0,0.0,40.0,147299056.0,244.8000031,4906.33,8.21
